ticker,company,sector
AAPL,Apple Inc.,Information Technology
MSFT,Microsoft Corporation,Information Technology
GOOGL,Alphabet Inc. Class A,Communication Services
AMZN,Amazon.com Inc.,Consumer Discretionary
META,Meta Platforms Inc.,Communication Services
BRK.B,Berkshire Hathaway Inc. Class B,Financials
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase & Co.,Financials
V, Visa Inc. Class A,Information Technology
PG,Procter & Gamble Company,Consumer Staples
TSLA,Tesla Inc.,Consumer Discretionary
NVDA,NVIDIA Corporation,Information Technology
HD,Home Depot Inc.,Consumer Discretionary
UNH,UnitedHealth Group Incorporated,Health Care
XOM,Exxon Mobil Corporation,Energy

